stratigraphic_section,section_meter_level,composite_meter_level,site_lat,site_long,n,D_geo,I_geo,D_tilt-cor,I_tilt-cor,a_95,k,fit_used
MP101,0.0 to 15.5,68,47.0988,-84.7123,6,203.2,-50.3,131.6,-63.2,9.2,54,mag
MP101,15.5 to 16.8,84,47.0987,-84.7124,3,225.0,-47.2,146.0,-77.2,13.7,54,mag
MP101,16.8 to 18.7,85,47.0986,-84.7124,5,226.7,-52.8,120.3,-77.5,7.4,88,mag
MP101,20.7 to 21.3,89,47.0986,-84.7125,4,209.1,-46.8,141.5,-66.4,8.4,121,mag
MP101,21.3 to 21.9,89,47.0986,-84.7126,6,218.3,-52.3,126.6,-72.7,4.5,189,mag
MP101,22.3 to 24.2,90,47.0986,-84.7126,4,219.1,-53.5,122.6,-72.9,9.6,93,mag
MP101,26.1 to 27.2,94,47.0985,-84.7126,5,211.0,-59.4,108.9,-67.1,7.4,87,mag
MP101,30.8 to 31.9,99,47.0985,-84.7126,3,217.6,-51.6,128.9,-72.4,2.3,1895,mag
MP101,31.9 to 36.7,100,47.0984,-84.7127,3,215.1,-48.5,138.7,-70.7,5.5,337,mag
MP101,36.7 to 37.4,105,47.0984,-84.7127,6,209.4,-53.1,125.8,-67.2,6.6,105,mag
MP101,37.4 to 40.7,105,47.0984,-84.7128,5,203.4,-56.8,117.0,-63.7,5.0,189,hem
MP101,40.7 to 42.4,109,47.0983,-84.7128,4,205.1,-54.7,122.0,-64.6,2.6,1205,hem
MP18,daisy stone,222,47.0967,-84.7147,6,249.8,-62.9,78.6,-75.0,3.3,419,mag
MP105,0.0 to 6.9,370,47.0946,-84.7163,4,212.4,-51.8,120.3,-67.1,6.9,179,mag
MP105,6.9 to 10.8,377,47.0945,-84.7163,6,222.3,-50.7,118.5,-73.5,5.9,108,mag
MP105,20.2 to 27.3,390,47.0945,-84.7163,6,240.0,-47.5,94.7,-84.7,1.8,1343,mag/hem
MP105,27.3 to 29.6,397,47.0943,-84.7166,4,231.7,-48.0,119.6,-80.1,4.7,384,hem
MP105,30.3 to 32.5,400,47.0942,-84.7166,4,235.4,-54.2,86.9,-77.7,3.3,594,hem
MP105,32.5 to 35.1,402,47.0941,-84.7167,6,244.4,-56.5,63.2,-76.5,5.8,134,mag/hem
MP107,0.0 to 3.8,584,47.0912,-84.7187,6,231.9,-55.4,99.6,-70.9,6.5,109,mag
MP107,3.8 to 10.2,587,47.0911,-84.7187,5,233.9,-57.6,92.9,-69.9,2.7,814,mag/hem
MP107,10.2 to 11.3,593,47.0911,-84.7188,5,239.3,-58.0,85.2,-71.0,6.3,120,mag
MP107,11.3 to 14.6,595,47.0910,-84.7188,6,226.9,-63.0,91.6,-63.5,5.8,135,hem
MP107,14.6 to 20.0,598,47.0909,-84.7189,5,235.5,-59.6,88.0,-68.7,8.6,80,mag
MP43,0.0 to 2.8,1080,47.0854,-84.7254,3,224.0,-72.4,105.8,-46.5,8.4,216,hem
MP43,2.8 to 7.1,1083,47.0853,-84.7259,4,238.4,-67.3,106.7,-53.5,8.9,108,hem
MP43,16.7 to 25.4,1096,47.0852,-84.7260,4,241.2,-59.0,115.9,-60.2,12.7,53,hem
MP43,25.4 to 33.4,1105,47.0852,-84.7259,3,235.6,-66.4,109.1,-53.4,8.7,203,hem
MP43,33.4 to 43.6,1113,47.0851,-84.7260,5,237.4,-77.7,104.5,-59.6,8.3,87,mag
MP121,10.6 to 14.4,1182,47.0843,-84.7272,4,267.7,-68.8,107.1,-70.6,6.8,182,hem
MP121,23.3 to24.4,1194,47.0838,-84.7277,4,267.8,-77.9,101.1,-61.9,4.5,422,mag/hem
MP121,27.6 to 31.3,1199,47.0836,-84.7278,4,252.0,-75.5,110.3,-62.6,9.2,101,mag/hem
MP121,46.6 to 49.4,1205,47.0835,-84.7280,4,262.0,-68.9,112.6,-69.8,2.4,1512,hem
MP214,-0.1 to 1.5,1289,47.0838,-84.7301,6,207.3,-72.4,105.4,-58.6,3.3,336,mag/hem
